content,published_at,likes,replies,mentioned_topics,additional_themes,attitude_towards_israel,attitude_towards_us,attitude_towards_qatar,attitude_towards_hamas,attitude_confidence,attitude_indicators,intelligence_score,intelligence_markers,insightfulness_score,insight_type,emotional_score
"You are negating the stealth external tanks Israel developed and that Israel builds the F35 wings.

The missiles were caught by US Air Defense. Centcom warned the President who warned Qatar.",2025-09-15 19:52:18.378000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>, <VideoTopic.AIR_DEFENSE: 'Air defense systems'>, <VideoTopic.F35_AIRCRAFT: 'F-35 aircraft'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['military technology capabilities', 'early-warning and command chain', 'defense industrial role']",7.0,8.0,5.0,,0.75,"['You are negating the stealth external tanks Israel developed', 'Israel builds the F35 wings', 'The missiles were caught by US Air Defense.', 'Centcom warned the President who warned Qatar.']",3,"['proper_grammar', 'logical_structure', 'domain_knowledge']",3,factual_correction,2
Why is nobody mentioning the Iranian breach of Qatar's  supposed sovereignty when they launched ballistic missiles at the American base in a staged effort to save face for getting bitch slapped and having their teeth kicked into the curb by Israel?,2025-09-15 19:52:18.378000+00:00,1,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>]","['Iranian missile strike in Qatar', 'Sovereignty violation', 'Media coverage bias']",9.0,5.0,4.0,,0.68,"['bitch slapped', 'having their teeth kicked into the curb by Israel', 'staged effort to save face', 'supposed sovereignty', 'launched ballistic missiles at the American base']",2,"['proper_grammar', 'logical_structure', 'critical_analysis']",2,counter_argument,4
"Thank you, Shirvan. I have seen no other channel (certainly not the standard media) address the most glaringly obvious fact about this attack: Other countries' airspace was used by Israel to get at Qatar. If without permission, then Israel invaded those countries airspace. If with permission, then those countries were complicit in the attack.",2025-09-15 19:52:18.378000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['airspace sovereignty violations', 'complicity of transit states', 'media criticism']",3.0,,,,0.7,"[""Other countries' airspace was used by Israel to get at Qatar."", 'If without permission, then Israel invaded those countries airspace.', 'If with permission, then those countries were complicit in the attack.', 'I have seen no other channel (certainly not the standard media) address the most glaringly obvious fact about this attack.']",4,"['proper_grammar', 'logical_structure', 'critical_analysis', 'nuanced_thinking']",4,systemic_critique,2
How do you know it was over Saudi airspace what if they went over Iraq and Kuwait and into Persian gulf? Maybe they refueled over Iraq first? You didn’t even try major that assumption? Why?,2025-09-15 19:52:21.265000+00:00,0,0,"[<VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.F35_AIRCRAFT: 'F-35 aircraft'>]","['flight path alternatives', 'aerial refueling logistics', 'methodological critique']",,,,,0.8,"['How do you know it was over Saudi airspace', 'what if they went over Iraq and Kuwait and into Persian gulf?', 'Maybe they refueled over Iraq first?', 'You didn’t even try [to] major that assumption? Why?']",3,"['logical_structure', 'domain_knowledge', 'critical_analysis']",3,counter_argument,2
"Qatar should be punished first, then the Middle East will be in peace.",2025-09-15 19:52:21.265000+00:00,0,0,[<VideoTopic.QATAR: 'Qatar'>],"['punitive action', 'blame attribution', 'peace-through-force rationale']",,,1.0,,0.95,"['Qatar should be punished first', 'then the Middle East will be in peace']",1,['proper_grammar'],1,basic_opinion,4
"Idk maybe having terrorists in your country is an on site type problem nowadays 
* *SHRUGS * *",2025-09-15 19:52:21.265000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>]","['host-state responsibility', 'sovereignty and safe havens']",7.0,,3.0,1.0,0.78,"['having terrorists in your country', 'on site type problem nowadays', '*SHRUGS* (dismissive of sovereignty/mediation concerns)']",2,['proper_grammar'],2,basic_opinion,2
"The Americans were probably aware. Informed the arab nations last minute of what was going to happen and told them to stand down. Countries like Qatar most likely had no choice but to accept it. So now they say they weren't aware, because they didn't want to lose face. 
America's forceful approach is going to get backlash in the long run. The US is evaporating it's soft power, all that will remain is hard power.",2025-09-15 19:52:21.265000+00:00,0,0,"[<VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['soft power erosion', 'face-saving/deniability', 'US pressure on Arab states']",,3.0,5.0,,0.74,"['The Americans were probably aware.', 'Informed the arab nations last minute ... and told them to stand down.', 'Countries like Qatar most likely had no choice but to accept it.', ""So now they say they weren't aware, because they didn't want to lose face."", ""America's forceful approach is going to get backlash ... The US is evaporating its soft power.""]",4,"['proper_grammar', 'logical_structure', 'domain_knowledge', 'critical_analysis', 'nuanced_thinking']",3,predictive_analysis,3
I wonder how much collateral damage there was in the bombings.,2025-09-15 19:52:21.265000+00:00,0,0,"[<VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.QATAR: 'Qatar'>]","['civilian casualties', 'humanitarian impact']",5.0,,,,0.45,"['collateral damage', 'bombings']",3,"['proper_grammar', 'logical_structure', 'critical_analysis']",3,basic_opinion,2
"It's interesting that you totally ignore the possibility of going above Syria and Iraq through the Gulf. Which, by the way, would be the preferred way due to lack of air defense in both countries! Instead, you insisted that the strikes carried on above Saudi Arabia.😂",2025-09-15 19:52:21.265000+00:00,1,0,"[<VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.AIR_DEFENSE: 'Air defense systems'>]","['flight path via Syria/Iraq', 'critique of analysis assumptions']",,,,,0.78,"['you totally ignore the possibility of going above Syria and Iraq', 'preferred way due to lack of air defense in both countries', 'you insisted that the strikes carried on above Saudi Arabia😂']",3,"['proper_grammar', 'logical_structure', 'critical_analysis']",3,counter_argument,3
Gaza should NEVER have s ceasefire. It rightfully belongs to Israel and they never should have given it up in 2005.,2025-09-15 19:52:21.265000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>]","['territorial sovereignty claims', '2005 Gaza disengagement', 'anti-ceasefire stance']",10.0,,,,0.98,"['Gaza should NEVER have a ceasefire', 'It rightfully belongs to Israel', 'they never should have given it up in 2005']",2,"['logical_structure', 'domain_knowledge']",2,basic_opinion,4
I wonder how they would feel if a neighboring nation flew over and bombed something in their country. Outrageous. It’s time for the UN to grow some teeth and stop this insane behavior.,2025-09-15 19:52:21.265000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['sovereignty violation', 'UN enforcement', 'international law']",2.0,,,,0.75,"['I wonder how they would feel if a neighboring nation flew over and bombed something in their country.', 'Outrageous.', 'It’s time for the UN to grow some teeth', 'stop this insane behavior.']",2,"['proper_grammar', 'logical_structure']",2,basic_opinion,4
"Israel should be treated as an outcast 

It has become a rouge nation",2025-09-15 19:52:21.265000+00:00,0,0,[<VideoTopic.ISRAEL: 'Israel'>],"['rogue state', 'international isolation']",2.0,,,,0.92,"['Israel should be treated as an outcast', 'It has become a rouge nation']",2,[],1,basic_opinion,4
"Isreal: bomb baby bomb,
Isreal: we want peace.",2025-09-15 19:52:21.265000+00:00,0,0,[<VideoTopic.ISRAEL: 'Israel'>],"['hypocrisy/contradiction', 'anti-war sentiment']",2.0,,,,0.86,"['bomb baby bomb', 'we want peace']",2,['logical_structure'],2,basic_opinion,4
"People need to start seeing it for what it is. Israel’s just doing it on purpose at this point, how are you still attacking people when they are literally asking for a cease-fire, it’s simple There is no cease-fire. There is no peaceful talks. They don’t want that because it’s not in their best interests, They want to go to war and drag the whole World with them all for some God forsaken strips of land in the desert",2025-09-15 19:52:21.265000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>]","['warmongering/war escalation', 'territorial ambition over land', 'global destabilization risk']",1.0,,,,0.9,"['Israel’s just doing it on purpose', 'There is no cease-fire. There is no peaceful talks.', 'They don’t want that because it’s not in their best interests', 'They want to go to war and drag the whole World with them', 'all for some God forsaken strips of land in the desert']",2,['logical_structure'],2,basic_opinion,4
"Just like what the US could and did do in Ukraine, they can just turn off their equipment if they decide too",2025-09-15 19:52:23.458000+00:00,0,0,"[<VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>, <VideoTopic.AIR_DEFENSE: 'Air defense systems'>]","['equipment kill-switch/control', 'US complicity/tacit approval', 'Ukraine analogy']",,3.0,,,0.65,"['could and did do in Ukraine', 'they can just turn off their equipment', 'if they decide to']",2,['logical_structure'],2,historical_parallel,2
"Qatar is a sponsor of terrorism hiding behind an American military base .

President Trump knows the two faced Qataris and bypassed the entrenched bureaucracy to make it happen (Qatar being bombed)",2025-09-15 19:52:23.458000+00:00,0,0,"[<VideoTopic.QATAR: 'Qatar'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.TRUMP: 'Trump'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>, <VideoTopic.ISRAEL: 'Israel'>]","['terrorism sponsorship accusation', 'anti-bureaucracy sentiment', 'support for military escalation']",7.0,7.0,1.0,,0.74,"['Qatar is a sponsor of terrorism', 'two faced Qataris', 'bypassed the entrenched bureaucracy', 'make it happen (Qatar being bombed)', 'hiding behind an American military base']",2,['proper_grammar'],2,basic_opinion,4
"Qatar is a state sponsor of terrorism 
Well deserved.",2025-09-15 19:52:23.458000+00:00,1,0,"[<VideoTopic.QATAR: 'Qatar'>, <VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>]","['state sponsorship of terrorism', 'justified retribution']",8.0,,1.0,,0.8,"['Qatar is a state sponsor of terrorism', 'Well deserved']",2,['proper_grammar'],1,basic_opinion,4
"Hopefully those that normalized relations reverse course. Satanyahu came out and said it himself, that they will target wherever certain people are. There is no limit to his transgressions. No one should trust him. He also directly undermined Trump, where the latter claimed Qatar wouldn’t be targeted again.

I highly doubt Qatar knew ahead of time, since Hamas was already signaling that they would accept the peace deal. Why wouldn’t Qatar want the credit for this mediation? Also, at the same time, Qatar is also mediating between Russia and Ukraine. The latter parties would never trust Qatar going forward, if this was true.

This is probably thing that could’ve possibly happened to the Muslim world, they need to stop cooperating with the duplicitous US and her allies and rely more their own sphere, such as you mentioned with Turkey. Hope Qatar kicks the US out of its lands as well.",2025-09-15 19:52:23.458000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.TRUMP: 'Trump'>, <VideoTopic.NETANYAHU: 'Netanyahu'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.QATAR_MEDIATION: 'Qatar mediation'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['Mediator credibility', 'Pan-Islamic alignment', 'Expulsion of foreign military presence']",2.0,1.0,7.0,5.0,0.88,"['Satanyahu … there is no limit to his transgressions. No one should trust him.', 'Hopefully those that normalized relations reverse course.', 'He also directly undermined Trump, where the latter claimed Qatar wouldn’t be targeted again.', 'I highly doubt Qatar knew ahead of time … Why wouldn’t Qatar want the credit for this mediation?', 'This is … the Muslim world … stop cooperating with the duplicitous US … Hope Qatar kicks the US out of its lands as well.']",3,"['logical_structure', 'critical_analysis', 'domain_knowledge']",3,counter_argument,4
🇶🇦 🇹🇷 let us teach the Israelis a lesson they never forget 😉,2025-09-15 19:52:23.458000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>]","['Turkey involvement', 'Call for retaliation/violence']",1.0,,7.0,,0.85,"['""let us teach the Israelis a lesson they never forget""', 'Use of 🇶🇦 (Qatar) and 🇹🇷 (Turkey) flags signaling alignment', 'Inclusive phrasing ""let us"" indicating support for action against Israel']",1,[],1,basic_opinion,5
Israel needs a hard check,2025-09-15 19:52:23.458000+00:00,0,0,[<VideoTopic.ISRAEL: 'Israel'>],"['accountability', 'deterrence']",3.0,,,,0.7,['Israel needs a hard check'],2,['proper_grammar'],1,basic_opinion,3
"So the F35 flyover Saudi Arabia for 1700 km without noticing them, is this a joke",2025-09-15 19:52:23.458000+00:00,0,0,"[<VideoTopic.F35_AIRCRAFT: 'F-35 aircraft'>, <VideoTopic.AIR_DEFENSE: 'Air defense systems'>]","['Saudi airspace overflight', 'stealth detection limits', 'narrative skepticism']",,,,,0.7,"['is this a joke', 'F35 flyover Saudi Arabia for 1700 km without noticing them']",2,['critical_analysis'],2,counter_argument,3
"I am not at all happy with this strike, having understood the relationship and importance of this for years,  it is my perspective that this is a profound insult to the United States, nevermind the clear violation of Qatar sovereignty.",2025-09-15 19:52:23.458000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['sovereignty/territorial integrity', 'US prestige and credibility']",3.0,7.0,7.0,,0.82,"['I am not at all happy with this strike', 'a profound insult to the United States', 'clear violation of Qatar sovereignty']",3,"['proper_grammar', 'logical_structure']",3,basic_opinion,3
"Well done Israel, Qatar has been funding terror and propaganda all over the world including inside the US",2025-09-15 19:52:23.458000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>]","['terror financing', 'propaganda influence operations', 'support for military action']",9.0,,1.0,,0.93,"['Well done Israel', 'Qatar has been funding terror', 'propaganda all over the world including inside the US']",2,['proper_grammar'],2,basic_opinion,4
Qatar are Muslim Brotherhood terror state,2025-09-15 19:52:23.458000+00:00,0,0,[<VideoTopic.QATAR: 'Qatar'>],"['Muslim Brotherhood', 'state sponsor of terrorism']",,,1.0,,0.95,"['Qatar are Muslim Brotherhood terror state', 'terror state']",1,[],1,basic_opinion,4
Israel is a burden and a bad ally. The USA needs to abandon them and let the Middle East cannibalize itself.,2025-09-15 19:52:23.458000+00:00,0,3,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.UNITED_STATES: 'United States'>]","['isolationism/non-interventionism', 'abandoning alliances']",3.0,5.0,,,0.9,"['Israel is a burden and a bad ally.', 'The USA needs to abandon them', 'let the Middle East cannibalize itself']",2,"['proper_grammar', 'logical_structure']",2,basic_opinion,4
"I like your reporting but the biases are overwhelming:

- Israel didn’t strike Qatar to weaken a security threat, but to prevent a ceasefire

- Israel isn’t frustrated with the ceasefire negotiations, but is the one preventing them

- No mention of Palestinian hostages released during the temporary ceasefire, and no mention of who broke it and refused to negotiate",2025-09-15 19:52:23.458000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>]","['media bias', 'hostage/prisoner exchange', 'responsibility for ceasefire breakdown']",3.0,,,,0.85,"['Israel didn’t strike Qatar to weaken a security threat, but to prevent a ceasefire', 'Israel isn’t frustrated with the ceasefire negotiations, but is the one preventing them', 'No mention of Palestinian hostages released during the temporary ceasefire, and no mention of who broke it and refused to negotiate']",3,"['proper_grammar', 'logical_structure', 'critical_analysis']",3,counter_argument,3
Why didn't US defenses knock down Israeli missiles? America is run by cowards.,2025-09-15 19:52:23.458000+00:00,0,2,"[<VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.AIR_DEFENSE: 'Air defense systems'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>, <VideoTopic.ISRAEL: 'Israel'>]","['leadership cowardice', 'expectation that the US should intercept/defend', 'accountability for security failures']",3.0,2.0,,,0.82,"[""Why didn't US defenses knock down Israeli missiles?"", 'America is run by cowards.', 'Implied expectation that the US should have intercepted the strike']",2,['proper_grammar'],2,basic_opinion,4
"If you support terrorists, you are a terrorist and will be treated accordingly. Qatar is a terrorist heaven and has no legality as a state.",2025-09-15 19:52:23.458000+00:00,3,0,"[<VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>]","['delegitimization of state sovereignty', 'guilt-by-association/host culpability', 'counter-terrorism justification for punitive action']",,,1.0,1.0,0.85,"['If you support terrorists, you are a terrorist', 'will be treated accordingly', 'Qatar is a terrorist heaven', 'has no legality as a state']",2,"['proper_grammar', 'logical_structure']",1,basic_opinion,5
Qatar is a terrorist state... Even Saudi Arabia diplomat said so lol,2025-09-15 19:52:25.535000+00:00,4,3,[<VideoTopic.QATAR: 'Qatar'>],"['terrorism accusation', 'appeal to authority', 'Saudi Arabia stance']",,,1.0,,0.95,"['Qatar is a terrorist state', 'Even Saudi Arabia diplomat said so', 'lol']",2,['proper_grammar'],1,basic_opinion,4
"If the small-hats have no backing of a bigger bully, they won't be doing all these. UN is useless anyways, just like the previous League.",2025-09-15 19:52:25.535000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>]","['UN ineffectiveness', 'League of Nations comparison', 'Great-power backing/power politics']",1.0,2.0,,,0.93,"['small-hats', 'backing of a bigger bully', ""they won't be doing all these"", 'UN is useless anyways, just like the previous League']",1,[],1,basic_opinion,5
Attacking another sovereign nation to stall negotiation is some hardcore narcissistic stuff,2025-09-15 19:52:25.535000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.QATAR_MEDIATION: 'Qatar mediation'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['sovereignty', 'moral condemnation', 'motives (stalling negotiations)']",3.0,,,,0.7,"['Attacking another sovereign nation', 'to stall negotiation', 'hardcore narcissistic stuff']",3,"['proper_grammar', 'logical_structure', 'critical_analysis']",2,basic_opinion,4
W israel,2025-09-15 19:52:25.535000+00:00,0,0,[<VideoTopic.ISRAEL: 'Israel'>],,9.0,,,,0.95,['W israel'],1,[],1,basic_opinion,2
"It sucks for Qatar that US security guarantees didn't amount to much, but I don't see how Turkey would be any better. Iran would have still bombed them and Turkey wouldn't do anything.",2025-09-15 19:52:25.535000+00:00,0,0,"[<VideoTopic.QATAR: 'Qatar'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['Reliability of security guarantees/alliances', ""Turkey's security role"", 'Iranian attacks on Qatar']",,3.0,7.0,,0.8,"[""US security guarantees didn't amount to much"", 'It sucks for Qatar', ""I don't see how Turkey would be any better"", 'Iran would have still bombed them', ""Turkey wouldn't do anything""]",3,"['proper_grammar', 'logical_structure', 'critical_analysis']",3,counter_argument,2
You touch on it but I think you gloss over it. Qatar MUST stop hosting Hamas leadership. They have ZERO interest in achieving any form of ceasefire. And your analysis of Turkey is off. Turkey won't be allowed anywhere near Qatar.,2025-09-15 19:52:25.535000+00:00,2,0,"[<VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>, <VideoTopic.QATAR_MEDIATION: 'Qatar mediation'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","[""Turkey's regional role"", 'Policy prescription for Qatar']",,,3.0,3.0,0.8,"['Qatar MUST stop hosting Hamas leadership.', 'They have ZERO interest in achieving any form of ceasefire.', ""Turkey won't be allowed anywhere near Qatar.""]",3,"['proper_grammar', 'logical_structure', 'critical_analysis']",2,counter_argument,4
The US does need to get its dog back ok its leash. Can't be having the Israelis escalate all our fights for us. We're the ones gotta bear the burden of all this shit,2025-09-15 19:52:25.535000+00:00,0,1,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>]","['US burden', 'ally management/control', 'escalation concern']",2.0,3.0,,,0.86,"['get its dog back on its leash', ""Can't be having the Israelis escalate all our fights for us."", ""We're the ones gotta bear the burden of all this shit""]",2,"['logical_structure', 'critical_analysis']",2,basic_opinion,4
it's already been admitted that the brits refueled the israeli jets,2025-09-15 19:52:25.535000+00:00,0,0,"[<VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.F35_AIRCRAFT: 'F-35 aircraft'>]","['UK involvement', 'aerial refueling', 'official admission/acknowledgment']",5.0,,,,0.35,"['""it\'s already been admitted that the brits refueled the israeli jets""', 'Matter-of-fact claim about operational support without moral judgment toward Israel']",2,['logical_structure'],3,factual_correction,2
Israeli war crimes continue making the world an unsafe place.,2025-09-15 19:52:25.535000+00:00,0,1,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>]","['war crimes/International humanitarian law', 'global insecurity']",2.0,,,,0.86,"['Israeli war crimes', 'making the world an unsafe place']",2,['proper_grammar'],2,basic_opinion,4
Netanyahu can’t afford peace he will go to jail so he has to keep War going,2025-09-15 19:52:27.838000+00:00,3,4,"[<VideoTopic.NETANYAHU: 'Netanyahu'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>, <VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>]","[""leader's legal jeopardy"", 'political survival incentives']",3.0,,,,0.78,"['Netanyahu can’t afford peace', 'he will go to jail', 'so he has to keep War going']",2,['logical_structure'],2,systemic_critique,3
"USA (softly) : Don't... Please. Don't... 🙏
Israel : We have the Epstein clients list 👀
USA : ... 😑",2025-09-15 19:52:27.838000+00:00,0,2,"[<VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>]","['Epstein scandal', 'blackmail/coercion', 'elite corruption']",2.0,3.0,,,0.72,"[""USA (softly): Don't... Please. Don't..."", 'Israel: We have the Epstein clients list', 'USA: ... 😑']",2,"['proper_grammar', 'logical_structure']",2,basic_opinion,3
Why are we still pretending Israel is our Ally they would see every American die if it benefited them in the slightest,2025-09-15 19:52:27.838000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['alliance skepticism', 'accusations of betrayal', 'American security concerns']",1.0,3.0,,,0.9,"['pretending Israel is our Ally', 'they would see every American die', 'if it benefited them']",1,[],1,basic_opinion,5
One US ally is greater and more equal than every other US ally.,2025-09-15 19:52:27.838000+00:00,0,1,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['US double standards', 'Israeli exceptionalism', 'Orwellian critique']",4.0,3.0,,,0.6,"['One US ally is greater and more equal than every other US ally', ""Use of 'more equal' implies criticism of double standards"", 'Implicit identification of Israel as the privileged ally', 'Framing suggests US favoritism toward Israel over other allies']",4,"['proper_grammar', 'logical_structure', 'nuanced_thinking', 'critical_analysis', 'domain_knowledge']",3,systemic_critique,2
"7:18
So everything is speculation and no Facts.",2025-09-15 19:52:27.838000+00:00,0,0,[],"['skepticism_about_evidence', 'media_credibility']",,,,,0.85,['everything is speculation and no Facts'],2,"['proper_grammar', 'logical_structure']",2,counter_argument,2
Good! It’s time that emirate pays a price for funding terrorists and then protecting them!,2025-09-15 19:52:27.838000+00:00,2,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>]","['state_sponsorship_of_terrorism', 'accountability/punishment', 'safe_haven_for_militants']",8.0,,1.0,1.0,0.9,"['Good!', 'It’s time that emirate pays a price', 'for funding terrorists', 'and then protecting them']",2,"['proper_grammar', 'logical_structure']",1,basic_opinion,4
"Qatar hosts endless terrorists of Hamas. That makes them a legitimate target for Israel. The US took over significant parts of Iraq and Afghanistan for nearly 20 years killing close to 400,000 people.  Israel, which had hundreds of hostages taken and bombed constantly for 20 years from Gaza will do anything necessary to insure the safety of their citizens. Did the US do anything less?  Why the double standard?",2025-09-15 19:52:27.838000+00:00,0,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>]","['double standard', 'self-defense justification', 'Iraq/Afghanistan casualty comparison']",9.0,7.0,2.0,1.0,0.92,"['Qatar hosts endless terrorists of Hamas.', 'That makes them a legitimate target for Israel.', 'Israel ... will do anything necessary to insure the safety of their citizens.', 'Did the US do anything less?', 'killing close to 400,000 people.']",3,"['proper_grammar', 'logical_structure', 'critical_analysis']",3,counter_argument,4
